question_id,subject,chapter,difficulty,attempts,correct,incorrect,accuracy_rate,performance_category
Q0078,Science,Light - Reflection and Refraction,Hard,5790,2219,3571,38.32,Difficult
Q0079,Science,"Acids, Bases and Salts",Medium,5784,3285,2499,56.79,Moderate
Q0080,Science,Metals and Non-metals,Easy,1926,1347,579,69.94,Moderate
Q0081,Science,Chemical Reactions and Equations,Easy,3844,2999,845,78.02,Moderate
Q0082,Science,Control and Coordination,Medium,3844,2281,1563,59.34,Moderate
Q0084,Science,"Acids, Bases and Salts",Medium,1927,1222,705,63.41,Moderate
Q0085,Science,Carbon and its Compounds,Easy,3835,2611,1224,68.08,Moderate
Q0089,Science,How do Organisms Reproduce?,Easy,3858,2657,1201,68.87,Moderate
Q0090,Science,Control and Coordination,Easy,3858,2650,1208,68.69,Moderate
Q0091,Science,Magnetic Effects of Electric Current,Medium,3861,2168,1693,56.15,Moderate
Q0092,Science,Life Processes,Medium,1926,1140,786,59.19,Moderate
Q0093,Science,How do Organisms Reproduce?,Easy,5764,4113,1651,71.36,Moderate
Q0094,Science,Metals and Non-metals,Medium,7687,4575,3112,59.52,Moderate
Q0095,Science,How do Organisms Reproduce?,Medium,5790,3502,2288,60.48,Moderate
Q0096,Science,The Human Eye and the Colorful World,Medium,1923,1245,678,64.74,Moderate
Q0097,Science,Light - Reflection and Refraction,Easy,1915,1456,459,76.03,Moderate
Q0098,Science,Life Processes,Hard,1923,694,1229,36.09,Difficult
Q0099,Science,The Human Eye and the Colorful World,Easy,7702,5711,1991,74.15,Moderate
Q0100,Science,Heredity,Medium,1927,1233,694,63.99,Moderate
Q0101,Science,Light - Reflection and Refraction,Medium,1915,1187,728,61.98,Moderate
Q0102,Science,Magnetic Effects of Electric Current,Easy,5777,4259,1518,73.72,Moderate
Q0103,Science,Life Processes,Hard,3841,1623,2218,42.25,Difficult
Q0104,Science,The Human Eye and the Colorful World,Medium,1925,1128,797,58.6,Moderate
Q0105,Science,Electricity,Easy,1926,1461,465,75.86,Moderate
Q0107,Science,Heredity,Medium,1915,1005,910,52.48,Moderate
Q0108,Science,"Acids, Bases and Salts",Easy,1926,1299,627,67.45,Moderate
Q0109,Science,The Human Eye and the Colorful World,Medium,1915,1159,756,60.52,Moderate
Q0111,Science,Metals and Non-metals,Hard,5776,2437,3339,42.19,Difficult
Q0113,Science,Our Environment,Easy,3854,3171,683,82.28,Easy
Q0114,Science,Our Environment,Hard,1938,748,1190,38.6,Difficult
Q0115,Science,Heredity,Medium,3855,2071,1784,53.72,Moderate
Q0116,Science,"Acids, Bases and Salts",Easy,1915,1464,451,76.45,Moderate
Q0117,Science,Electricity,Medium,3851,2387,1464,61.98,Moderate
Q0118,Science,The Human Eye and the Colorful World,Medium,5772,3441,2331,59.62,Moderate
Q0119,Science,Heredity,Easy,1915,1317,598,68.77,Moderate
Q0120,Science,Light - Reflection and Refraction,Medium,1926,1130,796,58.67,Moderate
Q0121,Science,Heredity,Easy,1927,1565,362,81.21,Easy
Q0122,Science,Heredity,Easy,1926,1472,454,76.43,Moderate
Q0123,Science,Electricity,Medium,3851,2409,1442,62.56,Moderate
Q0124,Science,Heredity,Medium,1924,1148,776,59.67,Moderate
Q0125,Science,Heredity,Easy,5793,4247,1546,73.31,Moderate
Q0126,Science,Carbon and its Compounds,Medium,1927,1280,647,66.42,Moderate
Q0127,Science,Light - Reflection and Refraction,Easy,1923,1596,327,83.0,Easy
Q0128,Science,Carbon and its Compounds,Easy,1924,1472,452,76.51,Moderate
Q0129,Science,Magnetic Effects of Electric Current,Easy,1915,1421,494,74.2,Moderate
Q0130,Science,How do Organisms Reproduce?,Medium,1923,1022,901,53.15,Moderate
Q0131,Science,How do Organisms Reproduce?,Easy,1924,1428,496,74.22,Moderate
Q0134,Science,Our Environment,Easy,1925,1443,482,74.96,Moderate
Q0135,Science,Chemical Reactions and Equations,Easy,1920,1308,612,68.12,Moderate
Q0137,Science,How do Organisms Reproduce?,Hard,1925,792,1133,41.14,Difficult
Q0138,Science,Our Environment,Hard,1915,778,1137,40.63,Difficult
Q0139,Science,Heredity,Medium,1929,1267,662,65.68,Moderate
Q0141,Science,Electricity,Hard,1915,696,1219,36.34,Difficult
Q0143,Science,Metals and Non-metals,Medium,5756,3139,2617,54.53,Moderate
Q0144,Science,Chemical Reactions and Equations,Medium,3838,2202,1636,57.37,Moderate
Q0145,Science,The Human Eye and the Colorful World,Medium,1924,1115,809,57.95,Moderate
Q0146,Science,Electricity,Medium,1920,1013,907,52.76,Moderate
Q0149,Science,Control and Coordination,Medium,1920,1007,913,52.45,Moderate
Q0150,Science,How do Organisms Reproduce?,Easy,5787,4090,1697,70.68,Moderate
Q0151,Science,How do Organisms Reproduce?,Easy,3850,2892,958,75.12,Moderate
Q0152,Science,Heredity,Medium,1935,1039,896,53.7,Moderate
Q0153,Science,Chemical Reactions and Equations,Easy,5785,4105,1680,70.96,Moderate
Q0154,Science,Carbon and its Compounds,Easy,3847,2901,946,75.41,Moderate
Q0155,Science,Electricity,Medium,3852,2411,1441,62.59,Moderate
Q0157,Science,The Human Eye and the Colorful World,Medium,1927,1206,721,62.58,Moderate
Q0159,Science,Carbon and its Compounds,Medium,5764,3383,2381,58.69,Moderate
Q0160,Science,Our Environment,Easy,7701,5605,2096,72.78,Moderate
Q0161,Science,The Human Eye and the Colorful World,Medium,3851,2382,1469,61.85,Moderate
Q0162,Science,"Acids, Bases and Salts",Easy,1923,1565,358,81.38,Easy
Q0163,Science,Life Processes,Easy,3838,2786,1052,72.59,Moderate
Q0164,Science,Life Processes,Hard,3835,1513,2322,39.45,Difficult
Q0165,Science,How do Organisms Reproduce?,Hard,1938,723,1215,37.31,Difficult
Q0166,Science,Carbon and its Compounds,Medium,1935,1035,900,53.49,Moderate
Q0167,Science,Electricity,Medium,1927,1272,655,66.01,Moderate
Q0168,Science,Our Environment,Medium,1926,1145,781,59.45,Moderate
Q0169,Science,The Human Eye and the Colorful World,Medium,5772,3139,2633,54.38,Moderate
Q0172,Science,"Acids, Bases and Salts",Easy,3873,2654,1219,68.53,Moderate
Q0173,Science,Chemical Reactions and Equations,Medium,3848,2373,1475,61.67,Moderate
Q0174,Science,"Acids, Bases and Salts",Medium,1927,1253,674,65.02,Moderate
Q0175,Science,Electricity,Easy,1926,1331,595,69.11,Moderate
Q0176,Science,Magnetic Effects of Electric Current,Hard,1924,808,1116,42.0,Difficult
Q0177,Science,Magnetic Effects of Electric Current,Hard,1926,774,1152,40.19,Difficult
Q0179,Science,Our Environment,Easy,1923,1298,625,67.5,Moderate
Q0180,Science,Magnetic Effects of Electric Current,Easy,3840,2890,950,75.26,Moderate
Q0181,Science,Carbon and its Compounds,Easy,1927,1583,344,82.15,Easy
Q0183,Science,Our Environment,Hard,3849,1638,2211,42.56,Difficult
Q0184,Science,Electricity,Medium,3862,2270,1592,58.78,Moderate
Q0185,Science,Heredity,Medium,1925,1108,817,57.56,Moderate
Q0186,Science,Heredity,Easy,5758,4143,1615,71.95,Moderate
Q0189,Science,Light - Reflection and Refraction,Easy,3861,2603,1258,67.42,Moderate
Q0190,Science,Carbon and its Compounds,Medium,3864,2303,1561,59.6,Moderate
Q0191,Science,How do Organisms Reproduce?,Hard,1929,867,1062,44.95,Difficult
Q0192,Science,Carbon and its Compounds,Medium,1924,1157,767,60.14,Moderate
Q0193,Science,Magnetic Effects of Electric Current,Medium,1920,1049,871,54.64,Moderate
Q0194,Science,Chemical Reactions and Equations,Hard,3845,1470,2375,38.23,Difficult
Q0196,Science,Electricity,Hard,3852,1578,2274,40.97,Difficult
Q0197,Science,Light - Reflection and Refraction,Medium,1915,1028,887,53.68,Moderate
Q0198,Science,Magnetic Effects of Electric Current,Medium,1929,1242,687,64.39,Moderate
Q0199,Science,Magnetic Effects of Electric Current,Medium,1935,1034,901,53.44,Moderate
Q0200,Science,Life Processes,Medium,7694,4480,3214,58.23,Moderate
Q0201,Science,Control and Coordination,Medium,3851,2383,1468,61.88,Moderate
Q0202,Science,Our Environment,Hard,1915,788,1127,41.15,Difficult
Q0203,Science,Carbon and its Compounds,Hard,3853,1595,2258,41.4,Difficult
Q0205,Science,The Human Eye and the Colorful World,Easy,1923,1547,376,80.45,Easy
Q0206,Science,Carbon and its Compounds,Hard,1924,792,1132,41.16,Difficult
Q0207,Science,Metals and Non-metals,Medium,5777,3252,2525,56.29,Moderate
Q0208,Science,Light - Reflection and Refraction,Medium,1915,988,927,51.59,Moderate
Q0209,Science,Chemical Reactions and Equations,Easy,1925,1480,445,76.88,Moderate
Q0211,Science,Heredity,Medium,5764,3344,2420,58.02,Moderate
Q0212,Science,The Human Eye and the Colorful World,Easy,1935,1311,624,67.75,Moderate
Q0213,Science,Heredity,Hard,1915,748,1167,39.06,Difficult
Q0214,Science,Chemical Reactions and Equations,Medium,1915,1025,890,53.52,Moderate
Q0215,Science,"Acids, Bases and Salts",Medium,9630,5464,4166,56.74,Moderate
Q0216,Science,Heredity,Medium,1935,988,947,51.06,Moderate
Q0217,Science,Electricity,Hard,1925,775,1150,40.26,Difficult
Q0220,Science,Light - Reflection and Refraction,Medium,3851,2258,1593,58.63,Moderate
Q0221,Science,The Human Eye and the Colorful World,Medium,3852,2551,1301,66.23,Moderate
Q0222,Science,Our Environment,Easy,3854,3167,687,82.17,Easy
Q0223,Science,Heredity,Easy,3838,3035,803,79.08,Moderate
Q0225,Science,Chemical Reactions and Equations,Medium,1926,1004,922,52.13,Moderate
Q0226,Science,"Acids, Bases and Salts",Easy,5764,4082,1682,70.82,Moderate
Q0227,Science,Electricity,Easy,1915,1460,455,76.24,Moderate
Q0228,Science,"Acids, Bases and Salts",Hard,3842,1702,2140,44.3,Difficult
Q0229,Science,Light - Reflection and Refraction,Easy,1924,1462,462,75.99,Moderate
Q0230,Science,How do Organisms Reproduce?,Medium,1927,1287,640,66.79,Moderate
Q0232,Science,Life Processes,Hard,3850,1738,2112,45.14,Difficult
Q0234,Science,Life Processes,Medium,3845,2173,1672,56.51,Moderate
Q0235,Science,The Human Eye and the Colorful World,Easy,3842,3042,800,79.18,Moderate
Q0236,Science,How do Organisms Reproduce?,Hard,1915,776,1139,40.52,Difficult
Q0238,Science,Metals and Non-metals,Hard,1929,884,1045,45.83,Difficult
Q0239,Science,Our Environment,Easy,1935,1339,596,69.2,Moderate
Q0240,Science,Life Processes,Medium,1938,1038,900,53.56,Moderate
Q0241,Science,Magnetic Effects of Electric Current,Easy,3838,2874,964,74.88,Moderate
Q0243,Science,Heredity,Medium,1925,1134,791,58.91,Moderate
Q0246,Science,Electricity,Easy,5765,4553,1212,78.98,Moderate
Q0249,Science,Metals and Non-metals,Medium,1923,1027,896,53.41,Moderate
Q0250,Science,Heredity,Easy,1938,1320,618,68.11,Moderate
Q0251,Mathematics,Circles,Easy,1921,1449,472,75.43,Moderate
Q0253,Mathematics,Areas Related to Circles,Medium,1921,1156,765,60.18,Moderate
Q0254,Mathematics,Areas Related to Circles,Medium,5755,3303,2452,57.39,Moderate
Q0255,Mathematics,Areas Related to Circles,Easy,1920,1571,349,81.82,Easy
Q0256,Mathematics,Areas Related to Circles,Medium,7689,4616,3073,60.03,Moderate
Q0257,Mathematics,Introduction to Trigonometry,Medium,1913,1142,771,59.7,Moderate
Q0258,Mathematics,Surface Areas and Volumes,Hard,1924,798,1126,41.48,Difficult
Q0259,Mathematics,Arithmetic Progressions,Medium,1915,1112,803,58.07,Moderate
Q0260,Mathematics,Pair of Linear Equations in Two Variables,Hard,1917,785,1132,40.95,Difficult
Q0261,Mathematics,Some Applications of Trigonometry,Hard,5749,2326,3423,40.46,Difficult
Q0262,Mathematics,Some Applications of Trigonometry,Medium,1924,1159,765,60.24,Moderate
Q0263,Mathematics,Probability,Hard,1917,812,1105,42.36,Difficult
Q0265,Mathematics,Statistics,Medium,1913,1191,722,62.26,Moderate
Q0266,Mathematics,Pair of Linear Equations in Two Variables,Easy,3855,2904,951,75.33,Moderate
Q0267,Mathematics,Probability,Medium,3834,2260,1574,58.95,Moderate
Q0268,Mathematics,Probability,Medium,1920,1042,878,54.27,Moderate
Q0271,Mathematics,Triangles,Easy,1921,1443,478,75.12,Moderate
Q0273,Mathematics,Areas Related to Circles,Hard,1929,750,1179,38.88,Difficult
Q0274,Mathematics,Areas Related to Circles,Medium,1913,1164,749,60.85,Moderate
Q0277,Mathematics,Areas Related to Circles,Medium,5774,3581,2193,62.02,Moderate
Q0278,Mathematics,Introduction to Trigonometry,Hard,1920,872,1048,45.42,Difficult
Q0281,Mathematics,Introduction to Trigonometry,Hard,1913,814,1099,42.55,Difficult
Q0282,Mathematics,Some Applications of Trigonometry,Medium,5757,3335,2422,57.93,Moderate
Q0283,Mathematics,Triangles,Hard,1920,704,1216,36.67,Difficult
Q0286,Mathematics,Coordinate Geometry,Medium,3834,2293,1541,59.81,Moderate
Q0287,Mathematics,Circles,Hard,3843,1708,2135,44.44,Difficult
Q0290,Mathematics,Probability,Medium,3836,2062,1774,53.75,Moderate
Q0291,Mathematics,Triangles,Easy,1921,1458,463,75.9,Moderate
Q0294,Mathematics,Probability,Easy,5751,4362,1389,75.85,Moderate
Q0297,Mathematics,Statistics,Medium,1926,1253,673,65.06,Moderate
Q0298,Mathematics,Statistics,Medium,3850,2201,1649,57.17,Moderate
Q0299,Mathematics,Probability,Hard,7672,3091,4581,40.29,Difficult
Q0300,Mathematics,Circles,Easy,3857,3039,818,78.79,Moderate
Q0301,Mathematics,Quadratic Equations,Medium,5771,3260,2511,56.49,Moderate
Q0302,Mathematics,Statistics,Easy,3837,3030,807,78.97,Moderate
Q0303,Mathematics,Arithmetic Progressions,Medium,5770,3312,2458,57.4,Moderate
Q0304,Mathematics,Pair of Linear Equations in Two Variables,Easy,3841,2759,1082,71.83,Moderate
Q0305,Mathematics,Pair of Linear Equations in Two Variables,Medium,1915,1123,792,58.64,Moderate
Q0307,Mathematics,Statistics,Medium,7694,4602,3092,59.81,Moderate
Q0309,Mathematics,Pair of Linear Equations in Two Variables,Medium,3851,2375,1476,61.67,Moderate
Q0310,Mathematics,Polynomials,Easy,1915,1462,453,76.34,Moderate
Q0311,Mathematics,Introduction to Trigonometry,Medium,1931,1156,775,59.87,Moderate
Q0312,Mathematics,Circles,Easy,5774,4252,1522,73.64,Moderate
Q0313,Mathematics,Quadratic Equations,Hard,1921,787,1134,40.97,Difficult
Q0314,Mathematics,Surface Areas and Volumes,Easy,1931,1488,443,77.06,Moderate
Q0315,Mathematics,Some Applications of Trigonometry,Medium,1913,1150,763,60.12,Moderate
Q0316,Mathematics,Real Numbers,Medium,1915,1159,756,60.52,Moderate
Q0318,Mathematics,Introduction to Trigonometry,Hard,1920,896,1024,46.67,Difficult
Q0320,Mathematics,Circles,Medium,1921,1154,767,60.07,Moderate
Q0321,Mathematics,Arithmetic Progressions,Easy,3828,2911,917,76.04,Moderate
Q0322,Mathematics,Some Applications of Trigonometry,Medium,3837,2218,1619,57.81,Moderate
Q0324,Mathematics,Some Applications of Trigonometry,Medium,3849,2300,1549,59.76,Moderate
Q0325,Mathematics,Statistics,Hard,1916,704,1212,36.74,Difficult
Q0328,Mathematics,Introduction to Trigonometry,Easy,5771,4516,1255,78.25,Moderate
Q0329,Mathematics,Triangles,Easy,9625,7271,2354,75.54,Moderate
Q0330,Mathematics,Coordinate Geometry,Easy,1921,1439,482,74.91,Moderate
Q0331,Mathematics,Coordinate Geometry,Easy,1929,1334,595,69.16,Moderate
Q0332,Mathematics,Triangles,Medium,5766,3227,2539,55.97,Moderate
Q0333,Mathematics,Introduction to Trigonometry,Medium,1921,1158,763,60.28,Moderate
Q0334,Mathematics,Polynomials,Easy,3833,2767,1066,72.19,Moderate
Q0335,Mathematics,Surface Areas and Volumes,Hard,3842,1538,2304,40.03,Difficult
Q0336,Mathematics,Some Applications of Trigonometry,Hard,1930,794,1136,41.14,Difficult
Q0337,Mathematics,Some Applications of Trigonometry,Medium,1929,1015,914,52.62,Moderate
Q0338,Mathematics,Coordinate Geometry,Medium,1931,1135,796,58.78,Moderate
Q0339,Mathematics,Probability,Hard,3842,1548,2294,40.29,Difficult
Q0340,Mathematics,Arithmetic Progressions,Hard,1913,797,1116,41.66,Difficult
Q0341,Mathematics,Polynomials,Medium,3830,2271,1559,59.3,Moderate
Q0342,Mathematics,Pair of Linear Equations in Two Variables,Hard,5764,2506,3258,43.48,Difficult
Q0343,Mathematics,Probability,Hard,1924,814,1110,42.31,Difficult
Q0344,Mathematics,Some Applications of Trigonometry,Medium,5763,3336,2427,57.89,Moderate
Q0345,Mathematics,Circles,Easy,1929,1337,592,69.31,Moderate
Q0347,Mathematics,Circles,Easy,1929,1339,590,69.41,Moderate
Q0348,Mathematics,Real Numbers,Easy,1929,1287,642,66.72,Moderate
Q0350,Mathematics,Pair of Linear Equations in Two Variables,Medium,3859,2238,1621,57.99,Moderate
Q0351,Mathematics,Arithmetic Progressions,Easy,1929,1305,624,67.65,Moderate
Q0352,Mathematics,Real Numbers,Medium,1929,1025,904,53.14,Moderate
Q0354,Mathematics,Pair of Linear Equations in Two Variables,Medium,1916,1001,915,52.24,Moderate
Q0357,Mathematics,Pair of Linear Equations in Two Variables,Easy,1931,1470,461,76.13,Moderate
Q0358,Mathematics,Triangles,Medium,3841,2402,1439,62.54,Moderate
Q0359,Mathematics,Circles,Hard,3837,1507,2330,39.28,Difficult
Q0360,Mathematics,Pair of Linear Equations in Two Variables,Hard,3851,1612,2239,41.86,Difficult
Q0363,Mathematics,Circles,Easy,1921,1445,476,75.22,Moderate
Q0364,Mathematics,Quadratic Equations,Hard,1924,793,1131,41.22,Difficult
Q0365,Mathematics,Triangles,Medium,1926,1260,666,65.42,Moderate
Q0366,Mathematics,Areas Related to Circles,Medium,1916,1000,916,52.19,Moderate
Q0367,Mathematics,Some Applications of Trigonometry,Medium,3841,2449,1392,63.76,Moderate
Q0370,Mathematics,Quadratic Equations,Hard,3861,1608,2253,41.65,Difficult
Q0372,Mathematics,Real Numbers,Medium,1929,1029,900,53.34,Moderate
Q0373,Mathematics,Pair of Linear Equations in Two Variables,Medium,3850,2166,1684,56.26,Moderate
Q0377,Mathematics,Coordinate Geometry,Medium,1913,1137,776,59.44,Moderate
Q0378,Mathematics,Polynomials,Medium,3851,2403,1448,62.4,Moderate
Q0379,Mathematics,Coordinate Geometry,Easy,1921,1455,466,75.74,Moderate
Q0380,Mathematics,Areas Related to Circles,Easy,1930,1438,492,74.51,Moderate
Q0381,Mathematics,Coordinate Geometry,Easy,5742,4171,1571,72.64,Moderate
Q0384,Mathematics,Triangles,Medium,1930,1130,800,58.55,Moderate
Q0385,Mathematics,Quadratic Equations,Hard,1920,673,1247,35.05,Difficult
Q0386,Mathematics,Some Applications of Trigonometry,Medium,1920,1039,881,54.11,Moderate
Q0387,Mathematics,Surface Areas and Volumes,Medium,3837,2271,1566,59.19,Moderate
Q0388,Mathematics,Statistics,Hard,3828,1596,2232,41.69,Difficult
Q0389,Mathematics,Areas Related to Circles,Easy,3855,2959,896,76.76,Moderate
Q0390,Mathematics,Quadratic Equations,Medium,3842,2189,1653,56.98,Moderate
Q0392,Mathematics,Areas Related to Circles,Easy,1916,1259,657,65.71,Moderate
Q0393,Mathematics,Polynomials,Medium,5761,3320,2441,57.63,Moderate
Q0394,Mathematics,Pair of Linear Equations in Two Variables,Hard,3845,1574,2271,40.94,Difficult
Q0395,Mathematics,Statistics,Easy,1929,1301,628,67.44,Moderate
Q0396,Mathematics,Statistics,Easy,1924,1479,445,76.87,Moderate
Q0397,Mathematics,Statistics,Medium,1915,1174,741,61.31,Moderate
Q0398,Mathematics,Introduction to Trigonometry,Medium,3846,2314,1532,60.17,Moderate
Q0399,Mathematics,Circles,Hard,3855,1604,2251,41.61,Difficult
Q0400,Mathematics,Triangles,Hard,3853,1493,2360,38.75,Difficult
Q0401,Mathematics,Triangles,Easy,1916,1317,599,68.74,Moderate
Q0402,Mathematics,Introduction to Trigonometry,Easy,1917,1475,442,76.94,Moderate
Q0403,Mathematics,Statistics,Easy,1931,1484,447,76.85,Moderate
Q0404,Mathematics,Triangles,Easy,1929,1320,609,68.43,Moderate
Q0405,Mathematics,Introduction to Trigonometry,Easy,5775,4261,1514,73.78,Moderate
Q0406,Mathematics,Triangles,Easy,1915,1450,465,75.72,Moderate
Q0407,Mathematics,Areas Related to Circles,Medium,3850,2163,1687,56.18,Moderate
Q0410,Mathematics,Introduction to Trigonometry,Easy,1926,1584,342,82.24,Easy
Q0411,Mathematics,Areas Related to Circles,Easy,1916,1343,573,70.09,Moderate
Q0412,Mathematics,Introduction to Trigonometry,Medium,11519,6869,4650,59.63,Moderate
Q0413,Mathematics,Introduction to Trigonometry,Medium,1921,1134,787,59.03,Moderate
Q0414,Mathematics,Surface Areas and Volumes,Easy,1931,1485,446,76.9,Moderate
Q0416,Mathematics,Introduction to Trigonometry,Easy,3846,2803,1043,72.88,Moderate
Q0417,Mathematics,Pair of Linear Equations in Two Variables,Medium,5784,3300,2484,57.05,Moderate
Q0420,Mathematics,Areas Related to Circles,Medium,3851,2314,1537,60.09,Moderate
Q0421,Mathematics,Triangles,Hard,1920,694,1226,36.15,Difficult
Q0422,Mathematics,Arithmetic Progressions,Medium,1924,1141,783,59.3,Moderate
Q0423,Mathematics,Areas Related to Circles,Hard,1926,882,1044,45.79,Difficult
Q0424,Mathematics,Probability,Medium,3846,2224,1622,57.83,Moderate
Q0425,Mathematics,Circles,Easy,1929,1326,603,68.74,Moderate
Q0426,Mathematics,Arithmetic Progressions,Medium,1913,1155,758,60.38,Moderate
Q0427,Mathematics,Pair of Linear Equations in Two Variables,Easy,3846,2890,956,75.14,Moderate
Q0429,Mathematics,Areas Related to Circles,Easy,3834,2908,926,75.85,Moderate
Q0431,Mathematics,Polynomials,Easy,9613,7327,2286,76.22,Moderate
Q0432,Mathematics,Some Applications of Trigonometry,Medium,1920,1034,886,53.85,Moderate
Q0433,Mathematics,Arithmetic Progressions,Easy,3837,3081,756,80.3,Easy
Q0434,Mathematics,Triangles,Medium,5776,3461,2315,59.92,Moderate
Q0435,Mathematics,Quadratic Equations,Medium,1920,1263,657,65.78,Moderate
Q0436,Mathematics,Pair of Linear Equations in Two Variables,Medium,1916,1051,865,54.85,Moderate
Q0439,Mathematics,Real Numbers,Easy,3837,3047,790,79.41,Moderate
Q0440,Mathematics,Statistics,Easy,1930,1479,451,76.63,Moderate
Q0442,Mathematics,Probability,Easy,3842,2909,933,75.72,Moderate
Q0443,Mathematics,Statistics,Medium,1915,1139,776,59.48,Moderate
Q0445,Mathematics,Areas Related to Circles,Medium,1931,1117,814,57.85,Moderate
Q0447,Mathematics,Quadratic Equations,Hard,1916,700,1216,36.53,Difficult
Q0448,Mathematics,Statistics,Medium,1913,1125,788,58.81,Moderate
Q0450,Mathematics,Introduction to Trigonometry,Easy,3854,2950,904,76.54,Moderate
Q0452,Mathematics,Coordinate Geometry,Hard,3835,1492,2343,38.9,Difficult
Q0453,Mathematics,Statistics,Medium,3850,2167,1683,56.29,Moderate
Q0454,Mathematics,Real Numbers,Medium,1913,1141,772,59.64,Moderate
Q0455,Mathematics,Some Applications of Trigonometry,Medium,1913,1184,729,61.89,Moderate
Q0456,Mathematics,Probability,Easy,1915,1457,458,76.08,Moderate
Q0458,Mathematics,Arithmetic Progressions,Medium,3854,2345,1509,60.85,Moderate
Q0459,Mathematics,Pair of Linear Equations in Two Variables,Easy,1913,1459,454,76.27,Moderate
Q0460,Mathematics,Quadratic Equations,Easy,1931,1467,464,75.97,Moderate
